id,date,home_team,away_team,home_score,away_score,tournament,neutral,city,country
1,1872-11-30,Scotland,England,0,0,Friendly,False,Glasgow,Scotland
2,1950-07-16,Uruguay,Brazil,2,1,FIFA World Cup,False,Rio de Janeiro,Brazil
3,1954-07-04,Germany,Hungary,3,2,FIFA World Cup,True,Bern,Switzerland
4,1966-07-30,England,Germany,4,2,FIFA World Cup,False,London,England
5,1970-06-21,Brazil,Italy,4,1,FIFA World Cup,True,Mexico City,Mexico
6,1986-06-22,Argentina,England,2,1,FIFA World Cup,True,Mexico City,Mexico
7,1998-07-12,France,Brazil,3,0,FIFA World Cup,False,Paris,France
8,2002-06-30,Brazil,Germany,2,0,FIFA World Cup,True,Yokohama,Japan
9,2006-07-09,Italy,France,1,1,FIFA World Cup,True,Berlin,Germany
10,2010-07-11,Spain,Netherlands,1,0,FIFA World Cup,True,Johannesburg,South Africa
11,2014-07-13,Germany,Argentina,1,0,FIFA World Cup,True,Rio de Janeiro,Brazil
12,2018-07-15,France,Croatia,4,2,FIFA World Cup,True,Moscow,Russia
1096,2020-01-01,Oman,Denmark,3,2,UEFA Nations League,False,Various,Various
2121,2020-01-02,Norway,Honduras,1,0,UEFA Nations League,False,Various,Various
2007,2020-01-03,Hungary,Georgia,2,1,UEFA European Championship,False,Various,Various
3094,2020-01-03,Slovenia,Zimbabwe,2,0,Africa Cup of Nations,False,Various,Various
4767,2020-01-03,Mali,Belgium,2,0,CONCACAF Gold Cup,False,Various,Various
4891,2020-01-03,Bangladesh,Czech Republic,0,2,Africa Cup of Nations,False,Various,Various
2714,2020-01-04,Ghana,Libya,3,0,Africa Cup of Nations,True,Berlin,France
3036,2020-01-04,Yemen,Saudi Arabia,4,0,FIFA World Cup qualification,False,Various,Various
4277,2020-01-04,Ghana,Argentina,1,2,Friendly,False,Various,Various
4573,2020-01-04,Azerbaijan,Uruguay,2,3,Copa América,False,Various,Various
401,2020-01-06,Venezuela,Guinea,2,1,Copa América,False,Various,Various
762,2020-01-06,Nepal,Burkina Faso,2,3,Africa Cup of Nations,False,Various,Various
2070,2020-01-06,Malaysia,Germany,1,2,International Friendly,False,Various,Various
3307,2020-01-07,Senegal,Palestine,1,0,UEFA European Championship,False,Various,Various
4617,2020-01-07,Japan,Finland,2,0,Copa América,False,Various,Various
4762,2020-01-07,Algeria,France,1,1,AFC Asian Cup,False,Various,Various
963,2020-01-09,Georgia,Bangladesh,1,1,FIFA World Cup,False,Various,Various
1163,2020-01-09,Uzbekistan,Belgium,2,3,Copa América,False,Various,Various
2169,2020-01-09,Ecuador,Iran,2,0,AFC Asian Cup,False,Various,Various
3515,2020-01-10,Guatemala,North Macedonia,2,1,AFC Asian Cup,True,Berlin,France
4030,2020-01-10,North Macedonia,Ecuador,2,2,Friendly,False,Various,Various
106,2020-01-11,Denmark,Belgium,2,1,FIFA World Cup,False,Various,Various
2842,2020-01-11,Thailand,Guatemala,2,1,FIFA World Cup qualification,False,Various,Various
3337,2020-01-11,Iran,Uruguay,1,2,FIFA World Cup,False,Various,Various
2051,2020-01-12,Singapore,Kosovo,1,0,FIFA World Cup,False,Various,Various
3656,2020-01-12,Finland,Romania,0,1,Friendly,False,Various,Various
1474,2020-01-14,Nepal,Bosnia and Herzegovina,0,0,CONCACAF Gold Cup,False,Various,Various
4159,2020-01-14,Comoros,Hong Kong,2,1,Friendly,False,Various,Various
2174,2020-01-15,Northern Ireland,Colombia,3,0,AFC Asian Cup,False,Various,Various
2799,2020-01-15,Brazil,Mauritania,1,0,FIFA World Cup,False,Various,Brazil
728,2020-01-16,Azerbaijan,Palestine,2,1,AFC Asian Cup,False,Various,Various
1856,2020-01-16,England,Bolivia,2,1,Africa Cup of Nations,False,Various,England
2411,2020-01-16,Bosnia and Herzegovina,Spain,1,1,UEFA Nations League,False,Various,Various
875,2020-01-17,North Macedonia,Kosovo,2,1,FIFA World Cup qualification,False,Various,Various
2928,2020-01-17,Armenia,Gabon,1,2,CONCACAF Gold Cup,False,Various,Various
4911,2020-01-17,Algeria,Qatar,0,0,FIFA World Cup,True,New York,France
3051,2020-01-18,Austria,Indonesia,2,2,FIFA World Cup,False,Various,Various
325,2020-01-19,Bolivia,Haiti,0,0,FIFA World Cup qualification,False,Various,Various
510,2020-01-20,Algeria,Haiti,3,1,AFC Asian Cup,False,Various,Various
3122,2020-01-20,Northern Ireland,Armenia,2,1,Friendly,True,Berlin,Qatar
1229,2020-01-21,Sri Lanka,Austria,3,2,UEFA European Championship,False,Various,Various
1442,2020-01-21,Finland,Gabon,2,1,AFC Asian Cup,False,Various,Various
3845,2020-01-21,Germany,Republic of Ireland,2,0,FIFA World Cup,False,Various,Germany
4892,2020-01-21,Slovakia,Norway,1,0,FIFA World Cup qualification,False,Various,Various
251,2020-01-22,Croatia,Congo DR,3,3,Copa América,False,Various,Various
2743,2020-01-22,Germany,Oman,2,0,International Friendly,True,Paris,Brazil
2962,2020-01-22,Guatemala,Mauritania,3,2,AFC Asian Cup,False,Various,Various
656,2020-01-24,Costa Rica,Thailand,2,0,CONCACAF Gold Cup,False,Various,Various
878,2020-01-24,Iraq,Israel,2,1,CONCACAF Gold Cup,False,Various,Various
891,2020-01-24,Croatia,Hungary,2,1,CONCACAF Gold Cup,False,Various,Various
668,2020-01-26,Russia,Panama,1,0,International Friendly,False,Various,Various
2240,2020-01-26,Nigeria,Suriname,4,3,FIFA World Cup qualification,False,Various,Various
3024,2020-01-26,Costa Rica,Hong Kong,2,1,International Friendly,False,Various,Various
19,2020-01-27,Bolivia,Ivory Coast,1,2,UEFA Nations League,False,Various,Various
657,2020-01-27,Guatemala,China PR,2,1,Friendly,False,Various,Various
2235,2020-01-27,Guinea,Mali,4,3,CONCACAF Gold Cup,False,Various,Various
983,2020-01-28,Saudi Arabia,Bosnia and Herzegovina,1,0,FIFA World Cup qualification,True,Doha,Brazil
3430,2020-01-29,Croatia,Kenya,1,0,AFC Asian Cup,False,Various,Various
1113,2020-01-30,Honduras,Mali,1,1,Africa Cup of Nations,False,Various,Various
4876,2020-01-30,Syria,Panama,3,4,AFC Asian Cup,True,Doha,England
1012,2020-01-31,Georgia,Ivory Coast,2,3,International Friendly,False,Various,Various
2076,2020-02-01,Czech Republic,Indonesia,3,0,UEFA European Championship,True,London,United States
