Equipos con valores de corner nulos (null) o ausentes en xg_by_team.json:
================================================================================
"Equipo"                              | "Corners For"            | "Corners Against"               | "Fuente"                                       
--------------------------------------------------------------------------------
abkhazia                       | null         | null            | Historical results weighted by opponent quality
afghanistan                    | null         | null            | Historical results weighted by opponent quality
albania                        | null         | null            | Historical results weighted by opponent quality
alderney                       | null         | null            | Historical results weighted by opponent quality
ambazonia                      | null         | null            | Historical results weighted by opponent quality
american-samoa                 | null         | null            | Historical results weighted by opponent quality
andalusia                      | null         | null            | Historical results weighted by opponent quality
andorra                        | null         | null            | Historical results weighted by opponent quality
angola                         | null         | null            | Historical results weighted by opponent quality
anguilla                       | null         | null            | Historical results weighted by opponent quality
antigua-and-barbuda            | null         | null            | Historical results weighted by opponent quality
arameans-suryoye               | null         | null            | Historical results weighted by opponent quality
armenia                        | null         | null            | Historical results weighted by opponent quality
artsakh                        | null         | null            | Historical results weighted by opponent quality
aruba                          | null         | null            | Historical results weighted by opponent quality
asturias                       | null         | null            | Historical results weighted by opponent quality
aymara                         | null         | null            | Historical results weighted by opponent quality
azerbaijan                     | null         | null            | Historical results weighted by opponent quality
bahamas                        | null         | null            | Historical results weighted by opponent quality
bahrain                        | null         | null            | Historical results weighted by opponent quality
bangladesh                     | null         | null            | Historical results weighted by opponent quality
barawa                         | null         | null            | Historical results weighted by opponent quality
barbados                       | null         | null            | Historical results weighted by opponent quality
basque-country                 | null         | null            | Historical results weighted by opponent quality
belarus                        | null         | null            | Historical results weighted by opponent quality
belize                         | null         | null            | Historical results weighted by opponent quality
benin                          | null         | null            | Historical results weighted by opponent quality
bermuda                        | null         | null            | Historical results weighted by opponent quality
bhutan                         | null         | null            | Historical results weighted by opponent quality
biafra                         | null         | null            | Historical results weighted by opponent quality
bolivia                        | null         | null            | Historical results weighted by opponent quality
bonaire                        | null         | null            | Historical results weighted by opponent quality
bosnia-and-herzegovina         | null         | null            | Historical results weighted by opponent quality
botswana                       | null         | null            | Historical results weighted by opponent quality
british-virgin-islands         | null         | null            | Historical results weighted by opponent quality
brittany                       | null         | null            | Historical results weighted by opponent quality
brunei                         | null         | null            | Historical results weighted by opponent quality
bulgaria                       | null         | null            | Historical results weighted by opponent quality
